restaurant,dish_name,description,price
Momi Noodle House,H4.Sour Cabbage Pork Belly hotpot noodle 酸菜白肉吊锅粉,No description,$24.50
Momi Noodle House,A4. Dan Dan rice noodle 辣汁担担粉,No description,$16.95
Momi Noodle House,A2. Guilin Hot & Sour Noodle 桂林酸辣粉,No description,$16.95
Momi Noodle House,A1. Guilin Marinade Noodle 桂林米粉,No description,$16.95
Momi Noodle House,A3. Momi Mixed rice noodle 葱油拌拌粉,No description,$16.95
Momi Noodle House,A15. MOMI Fried rice noodle/rice  磨米特色炒粉/炒饭,No description,$18.95
Momi Noodle House,A17.  Mapo tofu麻婆豆腐,No description,$16.95
Momi Noodle House,A8. Beef briskets rice noodle  萝卜牛腩汤粉,No description,$18.95
Momi Noodle House,A6. Wonton Soup rice noodle 金牌云吞汤粉,No description,$14.95
Momi Noodle House,A7. pork knuckles rice noodle 卤香猪脚粉,No description,$18.95
Momi Noodle House,A14. General Tso's Chicken  左宗棠鸡,No description,$18.95
Momi Noodle House,A9. Sesame Oil Chicken Soup rice noodle        阿嬷麻油鸡粉,No description,$18.95
Momi Noodle House,A11. sweet and sour pork rib酸甜咕噜肉,No description,$18.95
Momi Noodle House,A5. Braisd Pork rice noodle 油葱卤肉粉,No description,$16.95
Momi Noodle House,A13. Saute chicken in hot sauce 湘西土匪鸡,No description,$18.95
Momi Noodle House,A18. Curry Chicken with Potato咖喱鸡肉,No description,$18.95
Second Slice Pizza (1322 Douglas St),Bread Sticks,No description,$5.99
Second Slice Pizza (1322 Douglas St),"Garlic Chicken Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Southwest Hawaiian Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Bacon Cheeseburger Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"BBQ Chicken Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Chicken Pesto Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Super Hawaiian Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Deluxe Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Supreme Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Pesto Fiesta Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"House Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Butter Chicken Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),Tandoori Chicken Gourmet Pizza (Small),No description,$15.99
Second Slice Pizza (1322 Douglas St),"Mexican Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Garlic Lovers Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Meat Lovers Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),"Canadian Pizza (10"" Small)",No description,$15.99
Second Slice Pizza (1322 Douglas St),Super  Veggie Gourmet Pizza (Small),No description,$15.99
Second Slice Pizza (1322 Douglas St),"Pepperoni Feast Pizza (12"" Medium)",No description,$17.99
Second Slice Pizza (1322 Douglas St),"Butter Chicken Pizza (12"" Medium)",No description,$17.99
Subway (1324 Douglas St),#16 Tandoori Twist,No description,$9.31
Subway (1324 Douglas St),#17 Cuban Crunch,No description,$10.01
Subway (1324 Douglas St),#18 Nashville-Style Hot Chicken,No description,$10.60
Subway (1324 Douglas St),#19 Chimichurri Steak & Cheese,No description,$11.78
Subway (1324 Douglas St),#20 Little Sicily,No description,$10.13
Subway (1324 Douglas St),#21 Tandoori- Spiced Mozza,No description,$8.48
Subway (1324 Douglas St),#22 The Big Veggie,No description,$9.78
Subway (1324 Douglas St),#2 Great Canadian Club,No description,$10.25
Subway (1324 Douglas St),#23 Mozzarella Melt,No description,$8.48
